category	subject_prefix	predicate	object_prefix	count_star()
biolink:GenotypeToDiseaseAssociation	MGI	biolink:model_of	DOID	8212
biolink:GenotypeToDiseaseAssociation	RGD	biolink:model_of	DOID	802
biolink:GenotypeToDiseaseAssociation	WB	biolink:model_of	DOID	568
biolink:GenotypeToDiseaseAssociation	ZFIN	biolink:model_of	DOID	1272
